country,year,pop,continent,lifeExp,gdpPercap
Auger 84,2017,2,KY,700,88
White Oak South,2010,37,KY,172950,1098
No. 1 ,2011,3,VA,8524,467
Thunder Ridge,2004,97,KY,1058650,2706
No 10-6A,2004,33,OH,301962,2353
Snyder Mine,2014,115,OH,1197608,2285
No 2 Slope,2004,3,PA,6911,573
Acosta Mine III,2003,8,PA,88327,2121
Fayette Co Strips,2004,22,PA,356294,2464
Deep Mine 41,2011,90,VA,261189,2216
Stockton Mine,2003,174,WV,2173409,2360
Justice #1,2013,109,WV,187363,2512
Kiski #1,2001,4,PA,29521,1092
Deep Mine #29,2001,41,VA,210930,1369
No 1,2013,21,KY,87990,2455
Mine No 9,2009,18,KY,114834,2772
Blackwood,2007,27,KY,123199,1676
Sewell Mine B,2015,35,WV,90468,2175
Beckley Mine,2011,42,WV,140470,2202
#2,2007,33,KY,154458,1763
Grove #1 Mine,2002,5,PA,2733,1334
Castle Valley Mine #3,2015,10,UT,177435,1921
Elk Mountain Mine,2007,12,WY,120055,2135
Kellar #1,2012,3,PA,8173,655
Manchester Mine,2011,36,AL,180371,2971
West Elk Mine,2009,321,CO,4475344,2187
Dredge #1,2015,4,KY,4255,1164
Mine #30,2007,45,KY,186624,1149
No 30 Auger,2003,3,KY,3746,298
BRC Chinook LLC,2010,2,IN,78226,1621
Mine No. 1,2018,22,WV,56768,2379
Brady Surface,2007,2,WV,2454,606
Upper Cedar Grove Mine No 3,2010,9,WV,26315,2322
Spruce Fork Mine No 1,2004,156,WV,809433,2037
No. 39 Mine,2014,1,WV,285,253
Mine No 1,2004,30,VA,364018,1899
Whitetail Kittanning Mine,2005,214,WV,1509283,2422
Farley Eagle Mine,2012,54,WV,167182,1673
Harrison County Mine,2014,481,WV,6703392,2395
Auger No 3132,2011,3,PA,22911,1176
Sherpa Mining,2016,5,PA,21614,913
West Spring Energy,2016,18,PA,39652,1725
Big Branch,2000,29,KY,309600,2129
# 2,2001,16,KY,86065,1779
Alden Resources Harps Creek,2016,17,KY,91472,2313
A28,2004,2,KY,20107,1707
#17,2005,64,KY,807855,2580
No 2,2009,28,KY,155497,2706
Jeddo Basin (J-44),2002,52,PA,138382,1972
Jordan,2013,4,IL,23557,1843
Creek Paum Mine,2006,63,IL,1407621,2427
Heritage #1,2011,11,PA,29577,2702
Francisco Mine,2000,96,IN,2279553,2743
Enterprise Mine,2000,33,IN,262958,1119
Bear Run Mine,2015,531,IN,7878025,2283
Phillips Mine,2007,3,PA,18906,2456
Mine No. 26,2010,32,VA,152264,2942
Marquise Strips,2003,1,PA,1144,20
Kilgore Creek Highwall Mine,2018,9,VA,173663,1674
Deep Mine #35,2007,64,VA,303543,2065
River Fork Powellton #1,2005,28,WV,385987,2525
Perry County Augers,2001,3,KY,1875,20
Mine 3,2006,4,KY,9317,375
K-6,2008,15,KY,27076,837
Highsplint Strip,2011,42,KY,108210,2804
Flint Ridge Mine,2006,59,KY,365222,2669
#1,2016,2,KY,2518,690
Hyden Development East #1,2018,12,KY,75581,1924
No 1,2003,17,KY,63889,1927
Eagle Mine,2004,24,KY,147207,2375
#7,2009,13,KY,37472,1303
Auger Mine No 28,2002,3,KY,80317,2492
Calvary No. 80,2002,41,KY,415842,2390
Choctaw Mine,2015,54,AL,251027,1739
Log Creek Underground,2016,34,IN,249531,2174
No. 1 Surface,2018,12,MD,39863,1808
Roaring Fork No 4,2009,61,VA,362092,1954
Rock Camp Surface No. 1,2013,13,WV,22655,778
Tunnel Ridge Mine,2018,358,WV,5205161,1746
Four Mile Deep Mine,2005,25,WV,42889,119
Boone North No. 2 Surface Mine,2009,58,WV,673901,2553
Surface No 5,2012,162,WV,553691,1840
Lane Ridge Surface Mine,2013,8,WV,53374,2529
Madison Mine,2014,94,PA,466874,2289
Old Ed #21,2011,8,IL,58191,2312
No. 1 Mine,2007,4,MD,27764,1917
Vindex Douglas,2003,6,MD,89580,1711
Trapper Mine,2000,151,CO,2059106,1962
Bowie No 2 Mine,2000,139,CO,5034239,2026
Minway No. 1,2002,137,WV,1467146,2248
Vansant 4A,2002,11,WV,106203,1969
Beard Job,2012,1,PA,4508,818
Brush Valley,2013,21,PA,44088,1652
No. 5,2006,18,VA,79937,1884
Fossil #1,2005,1,PA,3625,2013
Hazleton Shaft South,2016,16,PA,61440,1484
#1 Slope,2004,1,PA,155,77
Pioneer #1,2004,2,PA,29342,1876
Worthville Mine,2017,7,PA,40015,2489
Ellangowan Bank #45,2016,12,PA,1431,2253
Tn mine 20,2010,33,TN,98739,2677
Mine No. 36,2001,15,WV,108825,2428
Mine No 2,2000,9,VA,81184,2322
Speedway No 1 Strip Mine,2001,111,PA,726185,2798
Cabin Run,2001,29,MD,192103,1392
Bucy Job,2002,4,WV,39167,1120
OWSLEY COUNTY # 2,2006,11,KY,37060,1599
Spruce Pine,2016,39,KY,106335,796
Cam Creek 107,2013,7,KY,4717,344
Dorton E 3,2009,41,KY,37262,518
Thompson South Mine,2011,5,AL,6159,1841
Lehr Stripping Operation,2012,2,PA,5006,1400
Hurricane Creek,2012,7,IN,50281,2639
Somerville,2012,34,IN,667280,2988
Maverick Shop No. 1,2005,43,VA,365850,2457
Snyder Mine,2004,41,OH,635876,2852
Rosebud Mine&Crusher/Conveyor,2001,231,MT,11246730,1850
Jaden #1,2007,3,KY,3792,507
Spurlock #4 Surface Mine,2017,17,KY,158756,1811
Blackberry Creek Mine,2004,96,KY,1491125,2760
Randolph Mine,2012,37,WV,49913,1676
White Flame Surface Mine,2003,94,WV,1418699,2692
No 5,2002,25,KY,246870,2083
Jolo Mine,2011,11,WV,32155,2234
M & M ENERGY LLC,2006,2,VA,3223,503
Guyan Mine,2013,175,WV,1812228,2904
East Brookwood Mine,2003,46,AL,505765,2910
7 Ft Slope,2012,3,PA,5533,1303
RB #4,2006,21,KY,130585,2703
Four Mile Surface Mine No 2,2011,56,WV,569975,2420
Marsh Fork Mine,2007,29,WV,178956,2136
BAM 4 Auger ,2009,2,WV,1942,215
Castle Mine,2004,114,WV,972042,2755
Graywolfe No. 2,2006,27,WV,41955,1796
Prairie Eagle,2013,17,IL,158575,2530
Eagle River Coal LLC Mine No 1,2018,99,IL,723564,1843
Shay #1 Mine,2009,24,IL,167967,2170
Coal Creek Mine,2010,151,WY,11414277,2153
White Oak Job,2010,59,TN,198993,2697
Goodin Creek,2000,8,KY,15585,1024
Wilson Strip #6,2000,37,WV,277869,1916
MTR Surface Mine,2003,181,KY,1899074,2612
Marco GFCC Project,2009,6,PA,10080,2303
Oak Hill Strip,2012,243,TX,3061443,2154
Carr Creek #1,2008,2,KY,10200,1260
Baker Creek Mine,2012,1,KY,4604,870
Auger #5,2003,7,KY,51396,1310
S-15 Flag Knob,2005,11,KY,23677,2267
D-14 Stillhouse,2011,104,KY,596499,2756
WFI,2013,3,IL,5070,433
Rockton/Shaffer Mine,2012,21,PA,109650,2105
Locust Thicket,2012,12,VA,28755,1457
Strip #12,2002,33,VA,114983,692
Combs Branch Job,2001,55,KY,974036,2754
Swan Pond-102,2016,11,KY,20617,485
RB #12,2011,29,KY,69889,1218
Dundas Job,2009,3,OH,17179,1389
Butcher Knife Surface Mine,2010,5,VA,5623,481
Dollar Branch Mine,2009,40,KY,126931,1499
Fedscreek Surface,2017,5,KY,34509,2520
Thunder Ridge,2006,91,KY,940993,2776
Mc Clane Canyon Mine,2002,19,CO,327243,2007
Upper Cedar Grove Mine No 5,2014,11,WV,31978,2191
ADDCAR System 12 HWM Serial No 23012,2005,21,IN,217932,1680
Old Union,2015,47,AL,193069,2522
North Antelope Rochelle Mine,2006,835,WY,88527969,2100
Phoenix No 6,2004,30,OK,288382,2636
Darmac No. 3,2003,11,PA,144947,2644
Bull Run Surface Mine,2009,13,VA,45757,1806
#5 Surface Mine,2012,18,VA,133501,2539
Covington Coal Company #1 Mine,2004,17,WV,200093,2561
Salem #1,2014,2,WV,4677,213
Dewitt Job,2002,8,KY,2981,131
Davis Job,2002,13,WV,130598,2719
Whitey Strip,2013,3,PA,11849,520
Jewett Mine,2009,310,TX,5092532,2080
Hazleton Shaft South,2018,39,PA,56018,1436
Mine No. 2,2004,18,KY,23333,289
Dolet Hills Lignite Company,2001,142,LA,2802756,2232
Highwall Miner #1,2005,15,AL,15834,577
No 2,2014,4,KY,809,815
E4-1,2015,78,KY,366625,2241
Mine #1,2007,8,KY,6093,300
No 2,2003,27,KY,1228,244
Cardinal,2017,392,KY,3575953,2461
#5,2005,8,KY,15042,1822
Big Branch,2002,41,KY,319749,1321
No 10-6A,2002,33,OH,229068,2230
Steinmetz Mine,2002,2,PA,2707,1360
"Searles Mine No. 2, 3, 4, 5, 6, 7, 8 & 9",2002,25,AL,101078,1451
No 12,2002,35,KY,200039,1562
Oak Grove Mine,2015,267,AL,1982503,2542
Jones Fork,2007,26,VA,285049,2650
Deep Mine No 15,2009,40,WV,136996,2131
Stockton No. 2 ,2005,29,WV,250488,2277
Boone North No. 2 Surface Mine,2017,46,WV,558872,2751
Mine No. 11,2006,59,TN,370597,2116
Henager,2000,5,AL,4719,912
#4,2000,41,KY,446194,2178
C-3,2002,12,KY,61071,2959
Mustang Stripping,2010,2,PA,28,96
Speedway No 1 Strip Mine,2012,6,PA,25683,2262
No 3,2000,9,KY,62311,3174
Josephine #3,2000,10,PA,233078,2122
Freelandville Underground,2001,9,IN,4600,616
Mine #22,2000,5,KY,17549,859
No 1,2001,32,VA,263469,2296
Mine No 1,2001,20,WV,68095,1761
Industry Mine,2001,68,IL,482638,2372
No. 4,2001,41,KY,617334,2492
Starford Mine,2013,12,PA,34491,1417
RES Morrisdale,2014,19,PA,222494,2906
Auger No 1  SN #11,2012,2,KY,6140,1268
Mill Branch Operation Mine No 1,2008,9,KY,56379,2727
No 2 Mine,2007,41,KY,117380,737
F2-680,2011,8,KY,57556,1376
Taylor # 1,2002,6,MD,6693,1684
Kimble #1,2017,5,OH,20,33
Cordero Rojo Mine,2008,591,WY,40033283,2156
Black Thunder,2004,665,WY,72220213,2261
Tatum Strip Mine,2001,50,TX,275903,510
Cottonwood Dba Tiger #1,2001,5,IL,9469,985
"Freedom Fuels, LLC",2005,3,KY,1366,232
Burden No. 2,2005,4,KY,6557,589
Dowis Chapel Job,2009,21,KY,26688,1363
Taylor Fork Energy,2013,60,KY,370986,2254
No. 75,2003,84,KY,679688,2736
Cresent Valley Mine,2008,19,AL,108871,1192
Gray #1 - Blackfoot #5,2011,20,IN,147566,1434
Joshua Coal Company,2012,1,OK,3229,2050
Sands Hill Strip,2008,61,OH,677051,2491
Deep Mine 25,2008,123,VA,578679,2165
No 1,2005,72,WV,866152,2412
Deep Mine No 7,2006,45,WV,428563,2391
Nancy ,2003,8,WV,18108,2183
Ohio County Mine,2009,353,WV,296045,2336
Maple Eagle No. 1 Mine,2016,59,WV,333665,2450
Briar Mountain Surface Mine,2014,33,WV,392090,1973
Ondo Extension Mine,2004,57,PA,769634,2471
Eagle Creek #11,2005,58,WV,597439,2524
Federal No 2,2008,389,WV,3093227,2128
Hobet Mine,2012,258,WV,2522933,2717
No. 1 Surface,2012,8,MD,40251,1866
Delta Carbon Project,2016,6,IL,151270,1400
Smith Mine,2004,3,PA,15243,1817
Bull Run Strip,2003,33,VA,489136,2603
Strip #12,2012,62,VA,390110,2335
Black Hills Mine #1,2000,77,KY,908644,2348
Mahoning Valley No 36,2000,38,OH,364820,2276
Arnolds Run,2000,2,WV,18820,1876
Winifrede 15 Mine,2000,29,WV,523294,2723
Advantage #1,2010,125,KY,680075,2884
Marquise Strips,2008,15,PA,110869,2026
Reed Mine,2008,10,PA,145639,1866
Bell #1,2001,18,PA,280027,2943
Mine #1,2005,2,KY,790,160
Bee Tree Surface,2009,41,KY,128224,1191
Chestnut Flats,2014,13,KY,205609,2760
Mine No 11,2015,49,KY,169783,2123
Pit Number 2,2005,14,AL,25270,1538
Deserado Mine,2004,115,CO,2550883,1951
Seneca,2006,38,CO,57131,1894
Bear Run Mine,2016,501,IN,7283179,2193
Gateway Mine,2012,212,IL,2766139,2070
R S & W Drift,2012,5,PA,18182,1911
West Dante,2008,15,VA,119416,2218
No 1 Auger,2004,3,VA,24533,1026
Bull Hill #2,2018,13,OK,48532,2109
Coalburg No. 2 Mine,2010,61,WV,647746,2178
Hominy Creek Mine,2011,51,WV,178729,2240
Lower War Eagle,2011,24,WV,14251,1105
MT-11 Surface Mine,2006,23,WV,230462,1964
Cypress Creek Mine,2001,47,IN,1402323,2973
Alloy Surface Mine,2003,23,WV,57238,1209
Winifrede 12 Mine,2006,24,WV,89485,850
WV-3 Surface Mine,2004,37,WV,481635,2451
3130,2005,3,PA,25016,2160
MTR Surface Mine,2008,30,KY,145210,2705
Brockton Stripping,2006,2,PA,1393,334
Johnson Operation,2007,3,PA,23270,1516
Greasy Creek Mine,2006,8,VA,5691,653
Apex Quarry,2008,12,OH,43164,2401
Serill Strip,2006,4,PA,15440,2040
Locust Thicket,2003,24,VA,10246,264
Calvery Mine,2000,42,KY,232932,2160
Bluff Spur Mine,2000,8,VA,3283,406
RFI Strip & Tipple,2000,38,PA,365012,2313
No 5 Strip,2001,27,VA,348800,2276
Mine #15,2008,111,KY,578743,2523
Tip Top Mine,2004,25,KY,529401,2534
Flint Ridge Mine,2006,50,KY,455517,2850
Dry Branch ,2011,39,KY,75513,1601
Parkway Mine,2011,126,KY,1444797,2537
Cloverlick # 1A,2015,46,KY,80079,916
D & H Coal Company of Laurel County Inc ,2005,12,KY,15878,1108
Tarcon Strip,2012,5,PA,5094,1577
Medicine Bow Mine,2004,12,WY,16692,1868
Cane Creek Mine,2013,13,AL,66258,2492
D & H #1,2005,2,KY,3035,636
Lewis Creek Underground Mine,2013,95,KY,618495,2282
No 2,2009,12,KY,32063,1691
Roman Mine,2002,6,PA,5019,813
Quinton,2006,92,AL,613195,1879
Alliance Mine No 1,2004,12,AL,101120,2526
Joshua Coal Company,2003,2,OK,3229,2940
Hurricane Creek,2009,18,IN,284379,2513
Phoenix Mine,2005,21,OK,208357,2267
Lower War Eagle Mine,2013,60,WV,256905,2094
No 2 Deep Mine,2011,27,WV,340231,2461
Tower Mountain,2008,26,WV,399901,4143
Beury Mountain Mine No. 1,2004,6,WV,477,714
No 1 Strip,2004,3,WV,2973,2532
Mine No 1,2003,123,WV,1500259,2472
Buckingham Mine No 7,2015,56,OH,43359,431
Lykens #4,2014,2,PA,1203,720
Dooley Run Mine,2006,22,PA,111648,2264
Rosebud Mine&Crusher/Conveyor,2004,246,MT,12664823,2178
R-247 (Pine Creek Surface),2009,7,VA,32165,1860
Mine # 7,2009,11,VA,28038,1386
Adrian Deep Mine No 1,2000,35,WV,253377,2487
No. 45 Mine,2000,25,WV,49762,535
Rose Valley #587,2007,17,OH,7654,770
Marquise Strips,2013,4,PA,21505,1800
Tom's Run Mine,2008,35,PA,365342,2315
Grays Fork,2005,14,KY,14218,1256
Hardrock Coal Co.,2002,5,PA,48022,2171
Majestic Mine No. 2,2002,4,AL,61725,2100
Swisher Contracting Inc.,2009,15,PA,38706,1526
Mine No. 2,2007,13,VA,100521,1234
Letcher County Augers,2000,4,KY,29876,852
Robin Hood No 9,2000,47,WV,443600,1367
#1 Strip,2000,12,VA,2680,201
Viking Mine - Corning Pit,2011,118,IN,1491751,2329
Beth #2,2007,1,PA,11654,1800
Wildcat Surface Mine,2014,12,WV,38590,1473
Federal No 2,2014,417,WV,2866980,2194
Irishtown Strips,2004,10,PA,18541,814
Auger #1,2009,23,OH,144590,1948
"ADC, Inc Pit 008",2007,2,PA,17875,1992
Cordero Rojo Mine,2011,605,WY,39455590,2079
Snyder Mine,2001,25,OH,429943,2872
Right Fork Splint,2001,20,KY,79454,807
Elm Lick Mine,2009,36,KY,379180,2699
Love Branch,2008,41,KY,129546,1339
Depoy Mine,2003,3,KY,19553,973
Hazleton Shaft South,2002,3,PA,17796,2520
Sloan Mountain Mine,2007,45,AL,282444,1956
Gateway Mine,2010,185,IL,3197579,2482
Rochester Mills Strip Mine,2008,8,PA,48774,2381
Big Horn Coal Co,2000,9,WY,36105,1820
Glen Alum HWM Job,2001,7,WV,13863,485
Black Bear #4,2002,20,VA,19903,553
Cordero Rojo Mine,2016,430,WY,18332046,1981
Lentz/McIntyre 2,2001,8,PA,85020,1941
Sunrise Mine,2006,42,KY,69777,1821
GHM #30,2016,2,KY,10388,1003
S-22 Long Branch,2008,53,KY,220894,1014
Sterling-107,2011,31,KY,84181,922
Bevins Branch Surface Mine #2,2010,54,KY,349632,2754
Clearfield Co Strips,2010,56,PA,445724,2866
No 2,2008,20,VA,51155,910
Mountaineer Pocahontas No 1 Mine,2010,187,WV,400948,2406
Birch River Mine,2004,179,WV,2712064,2457
Mountaineer Alma A Mine,2012,100,WV,296717,2427
Upper Big Branch Mine-South,2003,174,WV,3271207,2346
Essex Mine,2005,25,WV,85089,1995
Twin Branch No 1,2018,94,WV,945970,2042
Low Gap Surface Mine,2005,71,WV,522275,2586
Tusky,2010,63,OH,603841,2081
8-C Mine,2006,28,WV,180013,2596
Mine No. 2,2007,4,WV,2490,378
Wolf Den Run Mine,2012,25,MD,277945,2311
Shearer  Mine,2006,4,PA,34196,1689
King II,2010,44,CO,521839,2420
Sebastian Mine,2015,53,AR,91272,2304
Cumberland #3,2011,2,TN,203,115
D-15,2015,13,VA,48292,1913
OAM#37,2007,2,KY,12865,1014
Mine  #33A,2000,5,WV,30866,1516
Watson Branch ,2015,19,TN,59299,1697
C C Auger,2001,4,WV,31842,836
Mine No. 35,2001,15,WV,119798,2495
Coal Mac #68 Surface,2002,108,WV,1951079,2843
Cass #1 Mine,2017,40,PA,238197,2311
Selkirk 2,2017,2,PA,3962,805
Fossil #1,2013,1,PA,7011,490
Bardo #1,2006,50,KY,206791,2667
#6,2012,22,KY,105125,2476
Job #59 Pond Knob Surface,2008,22,KY,258985,2658
Maple Creek Springtown,2017,16,KY,22309,1217
Francisco Mine,2009,125,IN,1383681,2503
Carlisle Mine,2013,273,IN,3136361,2456
Hess Creek Surface Mine ,2009,31,VA,191612,2163
Auger #1 Ed Coal Inc,2011,5,WV,20202,699
Stone Mine No. 1,2018,9,WV,3723,453
Fork Creek No 10 Mine,2013,84,WV,537100,2686
Lee Ranch Coal Mine,2003,265,NM,6870956,2072
No 3,2004,22,WV,173108,1696
Beckville Strip,2010,348,TX,4419423,2249
Miles Branch Mine,2005,66,VA,271645,2520
Auger No. 1,2014,3,PA,9123,555
Eagle River Coal LLC Mine No 1,2017,70,IL,881702,2832
Energy Resources Inc,2005,30,PA,119923,2043
Birch River Mine,2000,105,WV,3190318,2497
Condor #1 Mine,2000,13,WV,266223,3215
Deep Mine No 7,2001,33,WV,432805,2304
Mine No 1,2002,59,VA,739268,2466
Solomon Run  Mine,2013,3,PA,29811,2706
Rose Valley #587,2005,18,OH,107457,2767
No. 2,2008,13,KY,19044,708
S-12 Calhoun,2009,20,KY,91108,3027
First Creek Mine,2008,3,KY,1845,433
White Oak,2018,12,KY,1349,1002
Pegs Branch,2017,9,KY,63626,2163
No 7,2005,11,KY,13591,418
King I,2005,47,CO,465877,2310
Range Line Mine,2004,6,IN,96531,2703
ADDCAR #1,2010,11,KY,15342,470
Straight Creek Surface Mine #1,2010,31,TN,135754,2057
Dingess Chilton Mine,2008,8,WV,4573,368
Tower Mountain,2005,43,WV,707591,2734
Crooked Run Surface Mine,2013,2,WV,19299,2611
Allegiance Mine,2008,66,WV,530417,2129
Silver Oak No. 1,2011,32,WV,299001,2356
Carino No 1 Mine,2007,2,PA,11307,2142
Limestone Mine,2003,23,KY,58843,860
#2 Surface,2011,18,KY,84733,2229
Wildcat Hills Mine - Cottage Grove Pit,2007,173,IL,2069814,2425
Patterson Strip,2005,1,PA,9066,1687
#44,2005,5,VA,8400,897
Belle Ayr Mine,2009,358,WY,28395952,2140
Slab Fork,2001,16,WV,62420,482
Safety Research Coal Mine,2001,3,PA,200,1992
Blackridge Strips,2001,2,PA,11937,2312
D-5,2016,35,KY,134859,2416
Right Fork Splint,2006,48,KY,278671,2527
Longview Mine,2002,12,PA,85325,1694
S-3 Candle Ridge,2002,11,KY,7029,224
BRC Alabama No. 7 LLC,2014,3,AL,66006,2303
Red Ash Strip/Auger,2014,9,VA,4116,1098
GOBCO #1,2013,12,VA,51824,225
Brady Surface,2009,2,WV,910,790
Midland Trail Mine No. 4,2006,18,WV,20242,1310
8-C Mine,2005,25,WV,112257,1516
Navajo Mine,2016,213,NM,4107436,2113
Kingston No 1,2013,116,WV,342139,2298
Horse Creek Eagle,2012,138,WV,387319,1976
Carroll Hollow #6,2010,31,OH,90792,2374
Rose Mine,2015,2,PA,587,245
Savage Mine,2011,12,MT,354669,2227
Dotiki Mine,2006,356,KY,4733296,2758
Peach Mt. Strip,2004,7,PA,287,1496
Wilson Deep Mine #1,2006,65,VA,258955,2302
D-20,2014,28,VA,104259,2206
Lost Creek Mine,2001,9,KS,176064,1877
Robena Surface Mine,2014,6,PA,142283,2466
Atlas Anthracite Coal Corporation,2016,6,PA,14089,1701
Kimble #1,2016,7,OH,44408,2207
Tom's Run Mine,2009,43,PA,572101,2273
Big Run Mine,2014,3,PA,30624,2048
Baumgardner Operation,2001,8,PA,100083,2468
No 4 Mine,2001,299,AL,2537247,2071
No. 6,2003,10,KY,57789,1174
Auger Mine No. 31,2003,3,KY,5629,294
No. 2 Auger,2011,3,KY,2368,30
Laurel No. 1,2012,7,KY,5812,655
Job #2,2012,3,KY,17103,973
Seneca,2002,101,CO,1792339,2270
No. 2,2014,41,VA,294939,2130
Black King I  North Portal,2005,42,WV,319251,2641
Logan Fork Mine,2007,10,WV,126318,1047
Surface Mine No. 7,2011,35,WV,140548,2236
Jolo Mine,2009,14,WV,84998,2257
Aracoma Alma Mine #1,2016,104,WV,503664,2259
Monongalia County Mine,2004,401,WV,5718668,2191
Shean Hill Mine,2016,5,OH,18994,2136
Ritchie,2009,1,OH,2997,332
Myers and Supko,2012,1,PA,178,50
#20 Strip Job,2015,45,KY,505813,2557
Old Ed #21,2016,2,IL,1841,640
Buck Run P-8 P-10,2007,4,PA,14915,2063
Kaska Bank Operations,2011,1,PA,11389,3275
4 West Mine,2010,171,PA,972838,2043
Marco GFCC Project,2013,2,PA,6809,1012
Stark Pits,2005,9,OH,121743,2381
Fossil #1,2008,1,PA,2722,760
Auger No 1 S/N 116,2007,2,KY,2690,100
Auger #35 Job 198,2009,3,KY,8244,1123
Turkey Foot Job,2003,4,KY,14144,348
Springtown 1,2005,8,KY,187951,2229
Rebco Coal #2,2003,13,KY,12236,480
No 4,2002,4,KY,8693,915
Kayenta Mine,2017,321,AZ,6221392,2376
Mary Lee # 1 Mine,2008,4,AL,39459,1914
Dogwood #4-C,2013,8,VA,7542,194
Quarry No 2,2015,4,WV,6497,1923
No. 2,2004,38,WV,162443,2511
Covington Coal Company #1 Mine,2013,14,WV,30531,1607
Camp Branch Mine,2016,10,WV,57561,1843
ABC Corp,2004,2,WV,1324,900
Goodspring Stripping,2016,3,PA,3097,515
Shearer  Mine,2011,8,PA,43573,1958
Garland Mine,2007,37,KS,210943,2059
No 1 Strip,2008,7,MD,61516,2426
Deer Creek Mine,2012,282,UT,3294734,1963
Abes Fork Surface Mine,2006,5,VA,36781,2017
Pine Creek Mine,2000,7,KY,7858,472
Mine No 3,2000,13,WV,89283,2067
Coal Innovations # 1,2012,14,PA,118125,2548
Rawhide Mine,2010,173,WY,11229907,2111
Tiller No 1,2001,75,VA,552012,2405
Halfway Branch Surface Mine,2001,18,KY,96521,1217
Leatherwood #2,2001,38,KY,106344,538
Mine #1,2009,5,KY,1388,414
Swan Pond-102,2010,8,KY,93552,1290
Mine # 1,2018,7,KY,78163,1461
No. 68,2016,7,KY,1544,1867
Big Branch,2003,34,KY,307113,2685
Decker Mine,2002,222,MT,10028398,1932
Dugout Canyon Mine,2002,109,UT,2079928,2090
Bishop Impoundment Area,2014,70,WV,79098,1414
Whitetail #1,2007,2,PA,9589,2070
Shaw,2006,17,PA,128020,2476
Mine No. 11,2008,54,TN,242366,1893
No 4,2000,27,KY,7912,126
No. 3,2002,11,WV,42962,1431
JMW Mine No 1,2007,1,PA,86,545
Acosta Mine III,2006,8,PA,68665,2111
Red Oak Mine,2009,5,PA,14236,2135
No 10,2010,6,VA,21482,1428
Birch River Mine,2006,207,WV,3048933,2503
Jones Fork,2006,12,VA,37456,2599
No. 9,2015,21,WV,42353,2123
Bucy Job,2006,7,WV,85400,1760
Marion County Mine,2009,497,WV,6004124,2282
Gateway Eagle Mine,2016,96,WV,535476,2228
Sycamore Surface Mine,2013,42,WV,376636,2464
Coalburg No 2 Mine,2007,34,WV,249886,2054
Toney Fork Surface Mine,2012,74,WV,820223,2519
HWM Job #24,2003,13,WV,29568,229
No 2 Surface,2014,9,VA,10446,1922
Hiner Mine,2009,3,PA,14037,1684
Seminoe II Mine,2003,21,WY,136866,1978
Caballo Mine,2014,109,WY,7990986,1950
Hepler #1,2000,1,PA,33,122
Oxford Mining #2,2001,61,OH,706475,2794
Absaloka Mine,2012,71,MT,2714064,1959
Chavies Job #7,2009,36,KY,320829,2266
Owls Nest Job #8,2007,30,KY,267885,2116
No. 2,2003,3,KY,14658,883
Surface #1,2006,6,KY,23144,2175
Burden No. 2,2004,3,KY,1932,460
Chestnut Flats,2013,23,KY,62286,1611
Mine #3,2018,16,KY,26812,1824
No.17 Mine,2007,16,KY,76956,2787
RB #10,2006,21,KY,57843,2461
Pim #1,2002,2,OH,2138,712
Cabin Run,2012,21,MD,76629,2014
No. 1 Surface,2010,11,MD,69453,2435
No 1,2001,12,KY,88663,2706
Mine #1,2001,4,KY,8696,609
Five Forks Mine,2015,25,LA,194714,2202
CVB No 1,2017,7,KY,29969,1817
No. 2,2017,9,KY,5942,435
Highsplint Strip #2 Dixie 25,2011,12,KY,31742,3261
Carousel #1,2011,3,KY,748,577
Fedscreek Surface,2016,5,KY,24152,650
#1 Mine,2014,14,KY,49909,2334
F-9 Prater Branch,2007,7,KY,70343,640
Lost Creek Mine,2003,8,KS,153652,2207
Bear Creek,2015,9,AL,25481,1960
Jap Creek Mine,2013,61,AL,375715,2690
King I,2006,44,CO,488327,2236
Fisher Mining Company,2005,29,PA,213511,2612
Mine No. 14,2011,17,TN,36519,1777
White Oak Strip,2003,15,TN,33964,932
D-20,2016,6,VA,6944,2153
Friendsville Mine,2010,54,IL,997475,3090
Eagle Hill Strip,2006,3,PA,4983,1068
Speedway No 1 Strip Mine,2006,112,PA,643792,2751
Tito Mine White Vein Slope,2005,3,PA,4435,1820
Kraynak No 3,2005,3,PA,28271,2617
West Dante,2005,10,VA,86428,2407
Strip #13,2008,30,VA,189618,3101
Mine No 1,2000,108,KY,1305932,2578
Mine 78,2013,72,PA,728142,2448
Dry Branch Surface No 1,2002,19,WV,143471,2192
West Cazy Surface Mine,2002,27,WV,247448,1674
Orange Strip,2003,35,OH,361423,2568
Fourmile Fork,2010,68,WV,529691,2427
Gateway Eagle Mine,2012,45,WV,131157,1849
Auger #1,2001,3,OH,1209,40
McGill Surface Mine,2001,4,PA,12615,1960
Mine No. 2,2012,10,WV,28617,1868
Republic Energy,2016,156,WV,1294536,2389
Diamond Head Mine,2004,1,WV,39,328
S-12 Calhoun,2014,35,KY,210566,2116
Taylor Fork Energy,2005,49,KY,383120,2007
Beckville Strip,2013,291,TX,3204853,2158
No. 2,2018,45,VA,181996,1732
Hill Fork Mine,2011,84,WV,854678,2628
"Black Castle Mining Company, LLC",2013,180,WV,1520912,2559
Tams No.1 Surface Mine,2001,13,WV,40089,942
North Eagle Mine,2001,128,WV,1517960,1880
Shud Hounds Strip,2001,2,PA,2411,1296
#2,2001,3,KY,4000,352
Bridger Underground Coal Mine,2017,212,WY,1715801,2175
