country,year,pop,continent,lifeExp,gdpPercap
Long Branch Road Job,2008,38,KY,203001,2411
Red Bird Coal #1,2006,15,KY,55747,1506
16 Salem MC,2007,2,KY,6214,906
#1,2004,8,KY,11297,832
No. 2 Auger,2012,3,KY,5561,853
No. 25,2011,27,KY,39338,1311
Genesis,2002,34,KY,394542,1914
Cane Creek Mine,2012,12,AL,6698,556
Carlisle Mine,2012,266,IN,3008106,2348
Hoover Job,2008,33,PA,182795,2579
Serill Strip,2016,5,PA,12932,2120
Morris Ridge Strip,2011,29,PA,69324,2171
Purco Strip,2004,6,PA,29093,2032
Joshua Coal Company,2004,2,OK,4960,3220
Deep Mine # 3 ,2007,42,VA,113023,1437
#1 Auger,2005,3,VA,22976,1768
Pearly Br,2000,17,VA,81324,2024
Mine #1,2000,9,TN,11460,1137
SHM 12-66,2015,5,WV,75843,2747
Auger No 2,2002,3,VA,1837,83
Meridian #2,2017,48,VA,126544,2116
Frantz Brothers Strips,2014,1,PA,3323,388
3140,2016,3,WV,2939,160
No 1 Strip,2000,18,MD,72829,2028
Lenig Tunnel,2001,3,PA,1614,969
D. and D. Strip,2001,3,OH,422,2260
"Bell Resources, Inc",2001,6,PA,52625,1846
Coal Creek,2001,40,KY,338049,2314
Job #3,2008,30,MD,577714,2011
Burton Bend,2009,3,AL,300,1
No. 2,2006,6,KY,8384,697
H-4,2008,9,KY,142480,2105
Bent Mountain Surface Mine #2,2003,63,KY,628198,1663
VFC - Darty Gap,2010,12,KY,37497,1638
Mine No 20,2003,7,KY,16500,563
Friendsville Mine,2014,39,IL,849383,3221
Culm Co. #1,2010,1,PA,1550,1304
Beulah Mine,2008,143,ND,3023210,1838
Mine No. 2,2004,23,VA,83743,1022
No 1,2000,9,KY,25334,796
#1 Strip,2002,3,WV,3943,493
Alloy Powellton,2010,72,WV,394563,2441
Copley Trace Surface Mine,2009,86,WV,1269896,2814
West End,2006,3,PA,12025,387
RES Shawville,2013,35,PA,397551,2558
Buchanan Mine #1,2014,404,VA,4041701,2285
Wyoming No 2,2015,66,WV,227925,2419
S-7 Surface Mine,2017,4,WV,2013,2599
Monongalia County Mine,2007,456,WV,5150114,2212
Titus Mine,2001,2,PA,3535,1692
Rivergem Job,2001,4,KY,7562,602
Smith Branch No. 1,2011,3,KY,2048,1025
Kelly Fork Job,2004,24,KY,55964,468
Ky No 6,2009,7,KY,14004,689
Sharp Mtn Stripping,2003,3,PA,2323,242
Clearfield Co Strips,2009,54,PA,366974,2333
Laoc Strip #1,2012,3,MD,13119,921
Feds Creek #1,2011,4,KY,4928,337
Apache Mine,2007,18,WV,39921,948
Horse Creek Eagle,2016,129,WV,558901,2265
Gameland S E,2007,12,PA,210245,2622
#12,2008,30,KY,113361,1336
Frasure Creek Mine No 6,2005,88,KY,1180431,2028
Cheyenne Saline Co. #1,2003,43,IL,532581,2632
Sebastian Mine,2017,44,AR,23893,1050
Lattimer Division,2012,31,PA,126084,1976
Colowyo Mine,2000,269,CO,5171221,2259
Patriot Mining Company Inc,2002,11,WV,145166,2208
Koon Mine,2002,5,WV,7419,1995
North Marrowbone Creek Mine,2000,135,WV,1386363,2278
Berryburg Mine,2000,17,WV,66959,1667
Washington County Strips,2012,12,PA,248457,2460
RES Shawville,2009,37,PA,128716,2048
Buchanan Mine #1,2008,445,VA,3530714,2304
Kimble #1,2014,14,OH,327502,2850
M S M Coal Company Inc,2001,2,PA,9995,1891
Lindbergh,2001,24,AL,280729,2304
Liggett #5,2007,53,KY,348862,2637
Springtown 1,2015,4,KY,20058,843
Liggett #2,2005,61,KY,270922,2613
D-8 Cloverlick,2011,71,KY,426117,2351
Mine No 21,2004,37,KY,347193,1783
Mine #3,2012,37,KY,37173,2401
Reid School Mine,2013,17,AL,28807,1611
Kayenta Mine,2016,304,AZ,5422850,2475
#9,2007,12,KY,127489,2807
Chas #8 HWM,2003,10,KY,32027,717
Liggett #3,2008,45,KY,158869,2793
No. 1 Surface Mine,2008,35,KY,200908,2923
"Alden Resources, LLC #6",2012,8,KY,6942,2023
GHM-Bell #040,2003,2,KY,16013,655
Rough Creek Mine,2010,145,KY,927521,2508
Corinth Mine,2010,21,AL,118348,2517
H W M Job #28,2002,23,OH,136267,1154
Carbon Hill Mine,2015,38,AL,84876,2282
Fishtrap,2012,49,AL,272581,2893
Elk Creek Mine,2004,235,CO,6551034,1834
Mc Clane Canyon Mine,2008,20,CO,283150,2488
Lions Club,2004,19,OH,148581,3100
Fieg Bros Coal Co.,2013,16,PA,106765,1807
Cedar Branch No 1,2010,16,VA,73738,2594
Eagle Creek #10,2018,21,WV,81096,2017
Mine No 3,2014,16,WV,35819,1277
No 1 Surface,2008,211,WV,2667227,2478
Mine No. 2,2015,11,WV,657,208
Dugout Canyon Mine,2011,180,UT,2395020,2113
HWM 61,2018,12,WV,105795,1995
Moshannon,2007,4,PA,24109,1296
Auger I,2010,3,PA,3763,334
Airport Strip,2007,20,WV,46445,1427
Callisto Mine,2003,47,WV,673495,2919
Foster South,2004,8,MO,188499,2186
Castle Valley Mine #4,2012,67,UT,997288,2145
No. 1 Mine,2003,8,MD,37532,936
Steyer II,2013,24,MD,106686,2109
New Future Mine,2011,320,IL,1783046,2227
Beilchick Bros Strips,2007,3,PA,1844,738
Taylor # 1,2018,25,MD,49252,644
Smith Br,2007,25,VA,85760,2119
Deep Mine #26,2017,61,VA,287516,1911
Sarah,2000,40,PA,171991,2011
White Flame Surface Mine,2001,92,WV,1646565,2562
PHOENIX,2012,4,PA,7397,857
Buchanan Mine #1,2011,669,VA,5654353,2362
No 3,2003,9,VA,28846,1620
New Centerville Quarry,2006,12,PA,23348,2452
McClure Strip,2013,41,PA,235642,2458
Cordero Rojo Mine,2009,623,WY,39380964,2048
Eagle Butte Mine,2001,192,WY,24823834,2302
Marshall County Mine,2001,396,WV,6599665,2361
Gayosa,2001,19,AL,111646,2522
Koyle Branch Mine # 1,2001,35,KY,240878,2191
Sandlick No. 1 ,2003,3,KY,18454,1987
Mine # 1,2018,6,KY,4363,275
No 4,2013,23,KY,112379,1460
Round Mountain,2010,35,KY,138743,2712
Big Run Mine,2002,5,PA,33946,1435
Lucky #2,2002,8,KY,11030,540
Selkirk 2,2015,2,PA,1922,530
Air Quality #1 Mine,2003,195,IN,1879831,2585
#2,2001,24,KY,154412,2207
Mine No 1,2005,28,KY,52873,745
No. 5,2004,26,KY,120623,1874
No. 2,2003,4,KY,1278,505
Frasure Branch,2010,47,KY,460727,2185
Millers Creek Surface,2008,24,KY,133098,2633
Swan Pond-102,2005,6,KY,109475,2382
Cardinal Mine #1 ,2010,5,KY,34451,1028
S-14 Trace Fork,2011,73,KY,217492,1626
No 2,2006,10,KY,27100,1727
Pe Southern Pike Co,2009,7,KY,3339,2547
Paradise #9,2014,218,KY,2500679,2655
Vision #9,2004,108,KY,1101225,2416
#4,2002,23,KY,123372,1860
No. 77,2002,46,KY,255750,1475
Quarry No 2,2012,7,WV,11123,1684
Mine No. 7,2014,5,WV,598,885
Jett #2 Stripping ,2016,1,PA,264,1218
Derby Wilson Mine,2010,40,VA,143162,1536
Windmillgap Surface Mine,2018,16,WV,21513,853
Powellton #1 Mine,2015,176,WV,764985,2430
MT-11 Surface Mine,2010,38,WV,682289,2593
Auger #1,2006,3,WV,15779,1729
Skyway II Mine,2013,25,WV,101193,2458
